disaster_id,task_id,task_uuid
13,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
13,10,5f5222c5-b626-40e1-a433-cf8e9640608b
13,11,1eb54fb3-76fb-44f3-8d74-0d20efed54b2
13,12,e4ff431e-73d9-42a7-a627-b14c39fca011
13,19,23671fe7-6938-4029-bec2-893f55288697
13,20,144be296-f90c-4ed1-a65a-c101f16ab47e
13,22,d8f87634-37ed-40d1-bf9f-492c260214e0
13,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
13,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
13,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
13,26,182aee37-183a-49fa-9c74-26a73535216d
13,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
14,2,169ea806-2c1b-4c14-9408-83b101701910
14,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
14,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
14,10,5f5222c5-b626-40e1-a433-cf8e9640608b
14,12,e4ff431e-73d9-42a7-a627-b14c39fca011
14,15,ef089e3c-071f-4498-8075-73405abe96af
14,20,144be296-f90c-4ed1-a65a-c101f16ab47e
14,21,6e585358-15b1-4742-927f-4050f6b863d2
14,22,d8f87634-37ed-40d1-bf9f-492c260214e0
14,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
14,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
14,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
14,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
15,2,169ea806-2c1b-4c14-9408-83b101701910
15,3,01dde64c-584b-4329-a29f-a7e546f122f9
15,6,0e66bc62-3af2-41a5-9056-37eb16869548
15,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
15,12,e4ff431e-73d9-42a7-a627-b14c39fca011
15,13,0dcad544-9ef4-4ebf-8a95-31cbe5847a30
15,22,d8f87634-37ed-40d1-bf9f-492c260214e0
